actual,Orginal_text,predicted,explanation,is_valid_json
1,"After several hundred professional massages over the past 20 years, I encountered today a first -- a massage therapist who explained that she could not do a massage involving any but mild pressure using her hands. It was an issue of ""protecting the thumbs."" When I told her I didn't like forearms and elbows, she explained that she'd never worked without using her forearms (and, I assume, her elbows, too). After just five minutes, when I asked for more pressure, she suggested we stop the massage -- that she wasn't the ""therapist for [me]."" She was right. What are they teaching these people these days, and why doesn't an excellent outfit like LifeTime Fitness insist on better skills among its massage staff? I won't offer her name, but, if considering a massage at this establishment, I suggest Casie as the only therapist here worth the money.",1,"The reviewer expresses extreme dissatisfaction with their massage experience, citing the therapist's lack of skills and effectiveness, which led to them being referred to as 'not the therapist for [me]'.",True
1,"I just had the ice cream. That was when I didn't know where to go for ice cream. It tasted artificial, much like how everything else looked. There was also a weird feeling about the place - too self-consciously ""cute""  suspension of reality - almost as if a crime was imminent like a bad TV show. Looking at the rest of the food was almost disturbing - like school cafeteria food, only worse. Oh well, it discouraged me from eating anything the whole rest of the day.",1,"The reviewer found the ice cream to be artificial, the environment to be unsettling, and the food overall to be unappealing, which led to a discouraged experience.",True
1,"I will never go back to this establishment because all of the bouncers and wait staff are unfriendly, unprofessional and disrespectful.",1,"Unfriiendly, unprofessional, and disrespectful staff, especially bouncers and wait staff",True
1,"this another place that i would give no stars to if possible. 
it's been on the corner of mill and university for as long as i can remember, which is impressive since nothing older than ten years has been able to withstand the rent increases, and even more impressive because i don't know a single person who goes there.

i went in there one time, for drinks and walked past one of the foulest salad bars I've ever seen. for some reason, it's right by the door. instead of walking in to see a hostess stand you walk right into this brown mess of vegetables.

after seeing that first off, i wouldn't dream of ordering food here. the place is also dark and dirty and there's never anyone inside of it.

seriously, I'm really curious how this place survives. awesome little neighborhood wing and live music joints like long Wong's get torn down for high rise condos, yet gross, ghost town ruby Tuesdays hangs on the corner of main and main of Tempe. what is wrong with the world?",1,"The reviewer mentions a 'foulest salad bar' and describes the restaurant as 'dark and dirty', indicating a very poor experience.",True
1,"The parking is my beef with this place.  Why does a customer have to pay $12 for each time we park at the garage?  If you move in and out three times, that's $36 for parking.  Yes, my company was paying, but this was just outright stupid and I wouldn't make my company pay for this again.
I've been to Phoenix twice since then, and I've avoided this place and stayed at the Marriot.  Much better place.",1,"The reviewer strongly dislikes the parking policy, considering it 'stupid', which significantly impacts their experience and leads them to avoid the hotel in favor of a different option.",True
1,"I can summarize this in one word.  YUCK!  We went for dinner/supper, which is part of the problem.  We ordered t-bone steak and chicken.  The salad bowl had a hole right through the plastic and the steak was way thin.  We ordered it medium and any steak that thin just ends up being cooked as ""well done"" anyway.  Everything comes with grease dripping hash browns whether you want them or not.  At least the staff was friendly enough and food (if you call it that) was served quickly.  My personal recommendation is that if you're not going to eat breakfast, go somewhere else.",1,"Unsatisfactory experience due to issues with food quality, portion size, and extra unwanted side dish. Friendly staff and quick service do not compensate for the problems with the meal.",True
1,"My rating is based on the fact that as a vegetarian, they charge $8 for a small mediocre bean burrito.  Maybe if this bean burrito were exceptionally good or large in size, but it was neither.  I'm not saying that if your idea of Mexican food is Chipolte, you will not find what you are looking for and be happy here. But if what you offer your vegetarian customers is deleting the meat and not adding anything else and charging full price, I can get MUCH BETTER elsewhere and pay way less.  

GRINGOS:  Take off the Chipolte blindfolds!  Go to a real Mexican restaurant and see what real food is supposed to taste like!",1,"The reviewer was unhappy with the price ($8) and quality of the vegetarian bean burrito, comparing it negatively to Chipotle.",True
1,"""Hipster,Trendy"" ????-I think NOT !!!! Very disappointing......weird crowd ( older men on the prowl? ) , and unfriendly bartenders w/ lots of attitude. I've given this a few tries thinking I just hit it on a bad night , but won't be going back. So many other great places in Scottsdale to visit !",1,"The reviewer was disappointed with the atmosphere, crowd, and bartenders' attitude, leading them to not want to return.",True
1,"Remember how I said that the Trivia was the best thing about this place?  Well, they got rid of long time Triva host, Dave (who had been featured in the College Times and was the best thing about the trivia).  Without Dave's personality, this place just doesn't cut it.  Will never go here again. Bummer.",1,"The reviewer lost appreciation for the establishment after the long-time trivia host, a significant contributor to its success, left the business.",True
1,"The worst Thai food I've ever had! This place was recommended to us by another couple, and wow was I disappointed!

Everything was completely blase and tasteless, the only exception being the extreme spiciness of my fiance's entree(probably to make up for the lack of other spices)...

don't bother with this place.",1,"The reviewer explicitly states that it was the 'worst Thai food' and that everything was 'tasteless', indicating a very low quality experience.",True
1,"I think they need to hire a better chief; the food doesn't taste right.

My mom said she can teach them how to cook for free.",2,"The food doesn't taste right, indicating some issues with quality and potentially poor leadership under the current chief.",True
1,"really, I can't believe this place has received such high reviews from people.

my lady and i walked in, and were greeted rather rudely by a pretentious bitch at the front with a monotone ""name please?"", instead of a warm, friendly, french welcome to this rather charming looking place. we didn't have a reservation, which from the looks of how dead empty the place was, didn't seem like a problem. until the hostess whisked through her reservation list and explained she'd try to ""fit us in"". it was 6pm, the place had one other couple dining, and we were informed that the next party was arriving at 7:30. we weren't really looking to hang out. it would have be awfully lovely if yelpers would have informed of the need to MAKE RESERVATIONS before going in here, because if you don't, you're automatically a piece of shit according to the staff. sorry, i don't plan very much ahead. next time i will, and it won't be here.

anyways, after debating for a minute or two with herself, the hostess decided we could ""squeeze in"" and sat us right on top of the other couple inside the restaurant. she informed us that we could cork our own wine, for their low low price of 9 fucking dollars. in words only office space could adequately describe,""coup des tartes, what is it exactly that you do?"". 

the food was good, nothing spectacular for $25+ a plate. we got a salad with apples and nuts and bleu cheese, which was served warm. now this is the first warm salad i've had all of my life, and by no means am i some sort of wordly food expert, but i believe salad should be cold and crisp. not soggy and warm. yuck. the cordon bleu was tasty and filling, however, the wobbly table was an extreme annoyance when cutting through the chicken, but it was solved (with no thanks to the staff) by placing a jack-in-the-box gift card under the leg. i will admit, the mashed potatoes are some of the creamiest and best i've ever had. my lady got the pork tenderloin, which had a strange peppery-sweet pairing which i didn't particularly care for. we were broke for desert, so unfortunately we didn't get to try any tarts. you would think for a place that promotes itself as being so poise would get some fancier menus, other than a $.15 piece of cardstock copied in bulk at kinkos.

this place was rather disappointing. i honestly thought it would be way more comfy and welcoming inside but it really wasn't. it presents itself as being so high class and french and oh-la-la wee wee, but when it comes down to it, it's still located in a tiny shack of a house at 16th street and highland. maybe if it were located in the biltmore i'd give it a bit more cred.",2,"The reviewer was disappointed with the service and ambiance, citing a rude hostess, uncomfortable seating, and a mismatched table setting. While they enjoyed some of the dishes, including the mashed potatoes, they found others to be subpar, such as the warm salad. Their overall opinion was that the place came across as pretentious but didn't deliver a high-end experience.",True
